	Lattice depth (Er)	Lattice depth (uK)	Excitation freq. 1->2 (Hz)	Excitation freq. 1->3 (Hz)	Excitation freq. 1->4 (Hz)	Excitation freq. 1->5 (Hz)	Excitation freq. 1->6 (Hz)	Excitation freq. 1->7 (Hz)	Excitation freq. 1->8 (Hz)	Excitation freq. 1->9 (Hz)	Excitation freq. 1->10 (Hz)
111	111.0	10.802487789640699	30454.598898837197	30454.59889883809	59233.892369291614	60053.49204708381	60053.49204708669	87056.10958270756	87056.10958270988	88711.5249328045	88781.18052781529
112	112.0	10.899807499457282	30598.988269006735	30598.988269008234	59523.525344239206	60342.80578128326	60342.805781283605	87492.24023526472	87492.24023526492	89146.8955289488	89216.09454428591
113	113.0	10.997127209273865	30742.730856419756	30742.730856422062	59811.851484685154	60630.81755772966	60630.81755773066	87926.38261851038	87926.38261851757	89580.28980728744	89649.04008704523
114	114.0	11.094446919090448	30885.83528210281	30885.835282103875	60098.88836710225	60917.54483143011	60917.544831433486	88358.56382505404	88358.56382505926	90011.73456267676	90080.04375290715
115	115.0	11.191766628907029	31028.30997708994	31028.309977100027	60384.65317630509	61203.00466996324	61203.0046699678	88788.8103359751	88788.81033597671	90441.25598811552	90509.1315422211
116	116.0	11.289086338723614	31170.16318832291	31170.163188323597	60669.162717714615	61487.21376553191	61487.2137655324	89217.14803999671	89217.14803999841	90868.87969356474	90936.32887761519
117	117.0	11.386406048540195	31311.40298413012	31311.40298413139	60952.43342896717	61770.18844640179	61770.18844640554	89643.60225174064	89643.60225174445	91294.63072386786	91361.66062184173
118	118.0	11.483725758356778	31452.03725967308	31452.037259674984	61234.48139111767	62051.94468794219	62051.94468794268	90068.19772939876	90068.19772939962	91718.5335760663	91785.1510950736
119	119.0	11.581045468173361	31592.073742085217	31592.073742088676	61515.32233943857	62332.498123235746	62332.498123237645	90490.958691634	90490.95869163703	92140.61221601818	92206.82409136606
120	120.0	11.678365177989944	31731.519995423867	31731.519995425828	61794.97167375524	62611.86405330476	62611.86405330718	90911.90883391091	90911.90883391241	92560.89009437212	92626.70289460711
121	121.0	11.775684887806527	31870.383425464763	31870.383425466433	62073.44446838116	62890.05745687174	62890.05745687278	91331.07134412239	91331.07134412776	92979.39016196992	93044.81029371778
122	122.0	11.87300459762311	32008.671284330263	32008.671284332362	62350.75548178038	63167.0929998896	63167.09299989205	91748.46891773831	91748.46891774097	93396.13488462915	93461.16859742689
123	123.0	11.970324307439691	32146.390674843537	32146.390674846734	62626.91916564847	63442.98504450704	63442.985044509864	92164.12377222207	92164.12377222543	93811.14625733018	93875.79964826407
124	124.0	12.067644017256276	32283.54855490237	32283.548554906003	62901.949673946125	63717.74765797368	63717.74765797835	92578.05766113242	92578.05766113334	94224.44581805148	94288.72483630387
125	125.0	12.164963727072859	32420.151741484737	32420.151741485195	63175.86087129203	63991.39462091086	63991.3946209117	92990.29188744584	92990.29188744634	94636.0546608331	94699.96511208922
126	126.0	12.262283436889442	32556.20691467475	32556.20691467815	63448.666341298136	64263.93943553438	64263.939435535365	93400.84731661987	93400.84731662243	95045.99344856646	95109.54099934996
127	127.0	12.359603146706025	32691.72062149496	32691.720621500754	63720.3793944683	64535.3953334743	64535.39533347703	93809.74438905189	93809.74438905201	95454.28242528136	95517.47260705766
128	128.0	12.456922856522608	32826.699279524255	32826.699279527194	63991.01307581357	64805.77528326001	64805.77528326407	94217.00313207385	94217.00313207577	95860.9414278543	95923.7796411355
129	129.0	12.55424256633919	32961.14918052913	32961.1491805335	64260.580172277296	65075.09199766945	65075.09199767077	94622.64317164187	94622.6431716456	96265.9898975057	96328.48141576187
130	130.0	12.651562276155774	33095.076493821434	33095.076493825465	64529.093219797614	65343.35794069731	65343.3579407013	95026.68374345136	95026.68374345539	96669.44689070915	96731.59686415577
131	131.0	12.748881985972355	33228.487269643825	33228.48726964541	64796.56451020482	65610.58533435856	65610.58533436517	95429.14370378689	95429.14370379139	97071.33108985021	97133.14454912822
132	132.0	12.846201695788938	33361.38744230497	33361.38744230641	65063.00609779777	65876.7861652049	65876.78616520681	95830.04153990044	95830.04153990369	97471.66081338009	97533.14267312191
133	133.0	12.943521405605523	33493.78283329493	33493.782833296136	65328.429805778855	66141.97219066053	66141.9721906613	96229.39538008199	96229.39538008625	97870.45402574074	97931.60908805756
134	134.0	13.040841115422104	33625.679154249214	33625.67915425423	65592.84723236765	66406.15494507119	66406.15494507254	96627.22300334614	96627.22300334867	98267.72834683774	98328.56130460624
135	135.0	13.138160825238687	33757.08200986515	33757.082009874575	65856.2697568245	66669.34574565938	66669.3457456599	97023.5418488283	97023.54184883441	98663.50106131959	98724.0165014195
136	136.0	13.23548053505527	33887.996900657	33887.99690066138	66118.70854516025	66931.5556981606	66931.55569816487	97418.36902482138	97418.36902482367	99057.78912738027	99117.99153384994
137	137.0	13.332800244871853	34018.42922563186	34018.429225637876	66380.17455571995	67192.79570233976	67192.79570234613	97811.72131749199	97811.72131749715	99450.6091853728	99510.50294239869
138	138.0	13.430119954688436	34148.384284933316	34148.38428493424	66640.67854453757	67453.07645730802	67453.0764573088	98203.61519937454	98203.61519937728	99841.97756614958	99901.56696097695
139	139.0	13.52743966450502	34277.8672823698	34277.8672823715	66900.23107057245	67712.40846667066	67712.40846667298	98594.06683750157	98594.06683750282	100231.91029902408	100291.19952479542
140	140.0	13.6247593743216	34406.88332775261	34406.88332775693	67158.84250070107	67970.80204347364	67970.80204347419	98983.09210130686	98983.0921013088	100620.42311954605	100679.41627801434
141	141.0	13.722079084138185	34535.43743941156	34535.43743941328	67416.52301462609	68228.26731506463	68228.26731506489	99370.70657028357	99370.70657028495	101007.53147703888	101066.23258121291
142	142.0	13.819398793954768	34663.534546312956	34663.53454631464	67673.28260950463	68484.81422767324	68484.81422767369	99756.92554131022	99756.92554131396	101393.25054177496	101451.66351845028
143	143.0	13.916718503771351	34791.17949036832	34791.179490374656	67929.13110458972	68740.45255097642	68740.45255097991	100141.76403583688	100141.76403584212	101777.59521207328	101835.72390430399
144	144.0	14.014038213587934	34918.377028593495	34918.377028595336	68184.0781456039	68995.19188247006	68995.1918824708	100525.23680682344	100525.23680682768	102160.58012108425	102218.42829053754
145	145.0	14.111357923404517	35045.13183508819	35045.13183508865	68438.13320901107	69249.04165165067	69249.0416516519	100907.35834537796	100907.35834537966	102542.21964333765	102599.79097262306
146	146.0	14.208677633221098	35171.448503097774	35171.448503102954	68691.30560612335	69502.0111241033	69502.01112410743	101288.1428872353	101288.14288724221	102922.52790111651	102979.8259959681
147	147.0	14.305997343037683	35297.331546978196	35297.33154698068	68943.60448715203	69754.10940551673	69754.10940552081	101667.60441906053	101667.60441906506	103301.51877062714	103358.54716207416
148	148.0	14.403317052854264	35422.785404045	35422.785404051225	69195.03884508485	70005.34544549753	70005.34544550191	102045.75668454434	102045.75668455039	103679.20588802171	103735.9680344621
