	Lattice depth (Er)	Lattice depth (uK)	Excitation freq. min (Hz)	Excitation freq. max (Hz)	Excitation freq. (Hz)
307	767.5	128.88207454241638	60729.28032676034	60729.2803267653	60729.280326763444
308	770.0	129.30188586014413	60828.53363404777	60828.53363405236	60828.53363404899
309	772.5	129.72169717787187	60927.62594052885	60927.62594053396	60927.62594053178
310	775.0	130.1415084955996	61026.558027162144	61026.55802716709	61026.55802716474
311	777.5	130.56131981332734	61125.330668607334	61125.33066861266	61125.33066861122
312	780.0	130.9811311310551	61223.944633307634	61223.94463331299	61223.9446333105
313	782.5	131.40094244878284	61322.40068354865	61322.40068355231	61322.40068355074
314	785.0	131.82075376651053	61420.6995755317	61420.69957553742	61420.69957553379
315	787.5	132.24056508423828	61518.84205944758	61518.84205945285	61518.84205945048
316	790.0	132.66037640196603	61616.828879533874	61616.828879538625	61616.82887953594
317	792.5	133.08018771969378	61714.660774143085	61714.66077414755	61714.660774147116
318	795.0	133.49999903742153	61812.338475811266	61812.33847581466	61812.338475812845
319	797.5	133.91981035514925	61909.86271131994	61909.86271132461	61909.86271132266
320	800.0	134.33962167287703	62007.23420175918	62007.234201763255	62007.23420176083
321	802.5	134.75943299060475	62104.45366258932	62104.45366259329	62104.45366259062
322	805.0	135.1792443083325	62201.52180369915	62201.521803704556	62201.52180370257
323	807.5	135.59905562606022	62298.43932948057	62298.439329483925	62298.43932948228
324	810.0	136.01886694378797	62395.20693886454	62395.206938867894	62395.20693886572
325	812.5	136.4386782615157	62491.82532540028	62491.825325404156	62491.825325402504
326	815.0	136.85848957924344	62588.29517730408	62588.29517730812	62588.2951773062
327	817.5	137.27830089697116	62684.61717751902	62684.61717752378	62684.61717752219
328	820.0	137.69811221469894	62780.79200377113	62780.79200377592	62780.79200377317
329	822.5	138.1179235324267	62876.82032862373	62876.8203286281	62876.820328625705
330	825.0	138.5377348501544	62972.702819532395	62972.702819536375	62972.70281953472
331	827.5	138.95754616788216	63068.440138900216	63068.44013890648	63068.44013890372
332	830.0	139.3773574856099	63164.03294413414	63164.032944138875	63164.032944137885
333	832.5	139.79716880333766	63259.48188768903	63259.48188769378	63259.48188769103
334	835.0	140.21698012106538	63354.78761712909	63354.787617133145	63354.78761713168
335	837.5	140.6367914387931	63449.9507751707	63449.950775175486	63449.95077517381
336	840.0	141.05660275652085	63544.971999742374	63544.97199974727	63544.97199974349
337	842.5	141.4764140742486	63639.85192402505	63639.85192403082	63639.851924028095
338	845.0	141.89622539197632	63734.59117650916	63734.59117651534	63734.59117651211
339	847.5	142.31603670970406	63829.19038103862	63829.19038104366	63829.19038104052
340	850.0	142.7358480274318	63923.650156858384	63923.65015686366	63923.650156860276
341	852.5	143.15565934515956	64017.971118664296	64017.97111867109	64017.97111866839
342	855.0	143.5754706628873	64112.1538766506	64112.153876655015	64112.15387665407
343	857.5	143.99528198061503	64206.19903655072	64206.19903655733	64206.19903655311
344	860.0	144.4150932983428	64300.107199688864	64300.107199696	64300.10719969176
345	862.5	144.83490461607053	64393.87896302334	64393.87896302882	64393.87896302749
346	865.0	145.25471593379825	64487.514919185036	64487.51491919118	64487.51491918779
347	867.5	145.67452725152597	64581.01565652724	64581.01565653439	64581.015656533025
348	870.0	146.09433856925375	64674.381759173455	64674.38175917868	64674.38175917652
349	872.5	146.51414988698147	64767.61380704576	64767.61380705041	64767.61380704864
350	875.0	146.93396120470922	64860.712375916686	64860.71237592135	64860.712375919735
351	877.5	147.35377252243697	64953.67803745055	64953.67803745581	64953.678037452424
352	880.0	147.77358384016472	65046.5113592435	65046.51135924806	65046.51135924672
353	882.5	148.19339515789244	65139.21290486012	65139.21290486591	65139.21290486156
354	885.0	148.6132064756202	65231.78323388146	65231.783233888396	65231.78323388303
355	887.5	149.03301779334797	65324.222901933514	65324.2229019413	65324.22290193727
356	890.0	149.45282911107566	65416.532460736926	65416.532460741364	65416.53246073963
357	892.5	149.8726404288034	65508.71245813589	65508.71245814067	65508.71245813869
